NAME,ENGLISH,JAPANESE
MENU_ABOUT,_About,バージョン情報(_A)
MENU_BRUSH,Paint_brush,ブラシ(_B)
MENU_CLOSE,_Quit,終了(_Q)
MENU_COLOR,_Color…,色(_C)...
MENU_COPY,_Copy,コピー(_C)
MENU_CUT,C_ut,切り取り(_U)
MENU_DELETE,De_lete,削除(_L)
MENU_EDIT,_Edit,編集(_E)
MENU_ERASER,_Eraser,消しゴム(_E)
MENU_FILE,_File,ファイル(_F)
MENU_FLIP_HORIZONTAL,Flip _Horizontal,水平に反転(_H)
MENU_FLIP_VERTICAL,Flip _Vertical,垂直に反転(_V)
MENU_FONT,_Font…,フォント(_F)...
MENU_HELP,_Help,ヘルプ(_H)
MENU_LAYER,_Layer,レイヤー(_L)
MENU_MOVE_LAYER,_Move,移動(_M)
MENU_MOVE_LAYER_BACK,Move Layer to _Top,レイヤーを最上位へ移動(_T)
MENU_MOVE_LAYER_FRONT,Move Layer to _Bottom,レイヤーを最下位へ移動(_B)
MENU_MOVE_LAYER_NEXT,Move Layer to _Upper,レイヤーを上位へ移動(_U)
MENU_MOVE_LAYER_PREVIOUS,Move Layer to _Lower,レイヤーを下位へ移動(_L)
MENU_NEW,_New Window,新しいウィンドウ(_N)
MENU_NEW_LAYER,_New Layer,新しいレイヤー(_N)
MENU_OPEN,_Open File…,ファイルを開く(_O)...
MENU_PAGE_SETUP,Page Set_up…,ページ設定(_U)...
MENU_PASTE,_Paste,貼り付け(_P)
MENU_PENCIL,_Pencil,えんぴつ(_P)
MENU_PRINT,_Print…,印刷(_P)...
MENU_REDO,_Redo,やり直し(_R)
MENU_REMOVE_LAYER,_Delete Layer,レイヤーを削除(_D)
MENU_SAVE,_Save,上書き保存(_S)
MENU_SAVE_AS,Save _As…,名前を付けて保存(_A)...
MENU_SELECT,_Select,選択(_S)
MENU_SELECT_ALL,Select _All,すべて選択(_A)
MENU_SELECT_LAYER,_Select,選択(_S)
MENU_SELECT_LAYER_BACK,Select _Top Layer,最上位レイヤーを選択(_T)
MENU_SELECT_LAYER_FRONT,Select _Bottom Layer,最下位レイヤーを選択(_B)
MENU_SELECT_LAYER_NEXT,Select _Upper Layer,上位レイヤーを選択(_U)
MENU_SELECT_LAYER_PREVIOUS,Select _Lower Layer,下位レイヤーを選択(_L)
MENU_TOOL,_Tool,ツール(_T)
MENU_UNDO,_Undo,元に戻す(_U)
MENU_VIEW,_View,表示(_V)
TITLE,Paint,お絵かきソフト
TITLE_COLOR,Color,色
TITLE_DOCUMENT,(Untitled),(無題)
TITLE_PALETTE,Palette,パレット
TITLE_TOOLBAR,Toolbar,ツールバー
TITLE_TOOLBOX,Toolbox,ツール
